Comment,Designator,Footprint,LCSC Part #
,ADS1,ADS1115,
,ADS2,ADS1115,
,ADS3,ADS1115,
,S1,B3F-31XX,
,S2,B3F-31XX,
,ZENER3V2,DIO_LL4148,
,ZENER3V3,DIO_LL4148,
,MINI1,MINI560,
,PZEM-DC1,PZEM-DC,
,PZEM-DC2,PZEM-DC,
,PZEM-DC3,PZEM-DC,
,TTL-RS1,TTL-RS485,
,TTL-RS2,TTL-RS485,
,TTL-RS3,TTL-RS485,
1N5819HW-7,D1 D2,SOD3715X145N,
1uF,C3 C6 C8 C9,C0805K,
3v3,ZENER3V1,DIO_LL4148,
10k,R1 R2 R3 R4,M0805,
10uF/16V,C4 C7,153CLV-0505,
12MHz,Q1,SM49,
22-23-2021,X9,22-23-2021,
22-27-2041-04,J2,6410-04,
22pF,C1 C2,C0805K,
100,R10 R12 R14,M0805,
100nF,C5 C10 C11,C0805K,
160,R11 R13 R15,M0805,
330,R5 R6 R7 R8 R9,M0805,
10118193-0001LF,J1,FCI_10118193-0001LF,
AMS1117,U2,SOT229P700X180-4N,
CH340G,U1,SOIC127P600X180-16N,
ESP32-WROOM-32D,U3,MODULE_ESP32-WROOM-32D,
MINI_W5500,U$1,MINI_W5500,
MMBT3904,Q2 Q3,SOT95P240X120-3N,
MSTBA2,X5 X6 X7 X8,MSTBA2,
MSTBA6,X2 X4,MSTBA6,
MSTBA9,X10,MSTBA9,
SML-LXT0805IW-TR,D3 D4,LEDC2012X120N,
TLLY4400,PRS PWR WNG,LED3MM,
